Comunidad,Alquiler_2012,Alquiler_2022,Salario_2012,Salario_2022
País Vasco,10.14,13.8,22855.0,25442.0
Madrid,9.53,15.42,25254.0,26084.0
Cataluña,8.87,14.92,23904.0,24590.0
España,7.28,11.03,23594.0,24395.0
Navarra,7.21,10.39,22951.0,25060.0
Baleares,7.16,14.16,21760.0,23292.0
Cantabria,6.83,10.32,20787.0,22844.0
Asturias,6.61,8.38,21236.0,24069.0
Aragón,6.59,8.85,21088.0,23339.0
Andalucía,6.18,9.22,21653.0,23023.0
Canarias,6.06,11.26,20648.0,21897.0
C. y León,5.77,7.8,20888.0,22471.0
Galicia,5.64,7.96,22003.0,22087.0
La Rioja,5.94,7.88,20388.0,22764.0
C.Valenciana,5.43,10.12,21714.0,22991.0
Murcia,5.38,7.67,21281.0,23004.0
C.-La Mancha,5.17,5.91,22066.0,23443.0
Extremadura,4.65,6.04,19641.0,22891.0
