Comunidad,poblacion_2012,superficie,poblacion_2022
Andalucía,8414240,87599,8464411
Aragón,1344267,47720,1327707
Asturias,1063870,10603,1028244
Baleares,1115999,4992,1155999
Canarias,2127685,7447,2232799
Cantabria,592542,5321,582905
C.-La Mancha,2106331,79463,2047988
C. y León,2510844,94523,2409164
Cataluña,7522596,32014,7695214
Extremadura,1091677,41634,1065372
Galicia,2797657,29575,2700330
La Rioja,323609,5045,315675
Madrid,6466996,8028,6779888
Murcia,1464847,11314,1511251
Navarra,642051,10391,661530
País Vasco,2189534,7234,2215668
C.Valenciana,5003769,23255,5095372
España,46778514,506158,47289517
